Russian	English	Confidence	Sources	_reject_reason
агглютинационный	agglutinative thrombus, pi. thrombi	needs_human_review	akzhigitov_2_5	tilde_artifact: 'агглютинационный' → 'agglutinative thrombus, pi. thrombi'
адреногенитальный	salt depletion (salt-losing] prasad)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'адреногенитальный' → 'salt depletion (salt-losing] prasad)'
акушерский	ohstetric(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'акушерский' → 'ohstetric(al)'
анатомический	anatomic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'анатомический' → 'anatomic(al)'
антиген-специфический	defined antigen substrate spheres	needs_human_review	akzhigitov_2_5	tilde_artifact: 'антиген-специфический' → 'defined antigen substrate spheres'
антидиуретический	posterior pituitary antidinretic factor	needs_human_review	akzhigitov_2_5	tilde_artifact: 'антидиуретический' → 'posterior pituitary antidinretic factor'
биогеографический	biogeographical barrier to dispersal	needs_human_review	akzhigitov_2_5	tilde_artifact: 'биогеографический' → 'biogeographical barrier to dispersal'
благоприятный	resolution of respiratory distress syndrome	needs_human_review	akzhigitov_2_5	tilde_artifact: 'благоприятный' → 'resolution of respiratory distress syndrome'
больной	laryngect(omee)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'больной' → 'laryngect(omee)'
врождённый	aganglionic megacolon	needs_human_review	akzhigitov_2_5	tilde_artifact: 'врождённый' → 'aganglionic megacolon'
врождённый	congenital polyposis coli	needs_human_review	akzhigitov_2_5	tilde_artifact: 'врождённый' → 'congenital polyposis coli'
врождённый	congenital cystic anomalyies of the biliary tract	needs_human_review	akzhigitov_2_5	tilde_artifact: 'врождённый' → 'congenital cystic anomalyies of the biliary tract'
вспыльчивый	easy on the trigger	needs_human_review	akzhigitov_2_5	tilde_artifact: 'вспыльчивый' → 'easy on the trigger'
высокоэффективный	high efficiency particulate air daylight	needs_human_review	akzhigitov_2_5	tilde_artifact: 'высокоэффективный' → 'high efficiency particulate air daylight'
генный	genetic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'генный' → 'genetic(al)'
герметичный	leak-free, leakless, leakproof, leak-tight	needs_human_review	akzhigitov_2_5	tilde_artifact: 'герметичный' → 'leak-free, leakless, leakproof, leak-tight'
гиперосмолярный	nonketonic hyperosmolar diabetes mellitus	needs_human_review	akzhigitov_2_5	tilde_artifact: 'гиперосмолярный' → 'nonketonic hyperosmolar diabetes mellitus'
гистогематический	histohematic connective tissue barrier	needs_human_review	akzhigitov_2_5	tilde_artifact: 'гистогематический' → 'histohematic connective tissue barrier'
гистологический	histologic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'гистологический' → 'histologic(al)'
Государственный	National Adverse Drug Reactions surveillance	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Государственный' → 'National Adverse Drug Reactions surveillance'
двумерный	two-dimensional proteolytic digest gels	needs_human_review	akzhigitov_2_5	tilde_artifact: 'двумерный' → 'two-dimensional proteolytic digest gels'
детоксикационный	detoxification blood donor - for alcoholics	needs_human_review	akzhigitov_2_5	tilde_artifact: 'детоксикационный' → 'detoxification blood donor - for alcoholics'
диагностический	diacritic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'диагностический' → 'diacritic(al)'
доброкачественный	benign paroxysmal positional nystagmus	needs_human_review	akzhigitov_2_5	tilde_artifact: 'доброкачественный' → 'benign paroxysmal positional nystagmus'
долговременный	long-term lymphocyte cytotoxicity enzyme-linked immunospot	needs_human_review	akzhigitov_2_5	tilde_artifact: 'долговременный' → 'long-term lymphocyte cytotoxicity enzyme-linked immunospot'
