English	Russian	Source
Abdominal	Брюшной, абдоминальный	covid_dict
Abdominal pain	Боли в области живота, боли в животе	covid_dict
Acetylcholine	Ацетилхолин, ацетилхолиновый	covid_dict
Adaptability	Адаптируемость, приспособляемость	covid_dict
Adenovirus	Аденовирус	covid_dict
Adjuvant	Адъювант , вспомогательное вещество	covid_dict
Adoptive transfer	Адоптивный перенос	covid_dict
Adrenal cortex	Кора надпочечников	covid_dict
Adverse effect	Неблагоприятное, нежелательное воздействие, побочный эффект	covid_dict
Affinity	Сходство, подобие	covid_dict
Agar	Агар	covid_dict
Agarose	Агароза	covid_dict
Age groups	Возрастные группы	covid_dict
Aged 80 and over	В возрасте 80 лет и старше	covid_dict
Airway	Воздуховод	covid_dict
Algorithms	Алгоритмы	covid_dict
Alimentary	Алиментарный, пищевой	covid_dict
Alkaline	Щелочной	covid_dict
Alternative medicine	Нетрадиционная медицина	covid_dict
Amino acid motifs	Аминокислотные мотивы	covid_dict
Amino acid sequence	Аминокислотная последовательность	covid_dict
Amino acids	Аминокислоты	covid_dict
Amino-terminal	Амино-концевой, аминотерминальный	covid_dict
Ammonia	Аммоний	covid_dict
Amplification	Амплификация	covid_dict
Anal	Анальный	covid_dict
Analogous	Аналогичный	covid_dict
Anaphylatoxins	Анафилатоксин	covid_dict
Anatomical	Анатомический	covid_dict
Androgens	Андрогены	covid_dict
Anemia	Анемия	covid_dict
Anesthesia	Наркоз, обезболивание, анестезия	covid_dict
Animal model	Модель исследования на животных, экспериментальная модель на животном, животная модель	covid_dict
Annealing	Отжиг	covid_dict
Anorexia	Анорексия	covid_dict
Anti-inflammatory	Противовоспалительный	covid_dict
Anti-inflammatory agents	Противовоспалительные средства, препараты	covid_dict
Antibacterial	Антибактериальныей	covid_dict
Antibiotic	Антибиотик	covid_dict
Antibodies	Антитела	covid_dict
Antibody	Антитело	covid_dict
Anticoagulant	Антикоагулянт	covid_dict
Antigen	Антиген	covid_dict
Antigen-antibody complex	Комплекс антиген– антитело	covid_dict
Antigen-presenting cell	Антигенпредставляющие клетки	covid_dict
