Russian	English	Category	Confidence	Sources	Issues	_reject_reason
аберрантный	aberrant goiter		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аберрантный' → 'aberrant goiter'
абеталипопротеинемия, синдром Бессена-Корнцвейга			reference_only	baldwin_reference		empty_en_after_fix
автоматический	self-acting		needs_human_review	akzhigitov_2_5		tilde_artifact: 'автоматический' → 'self-acting'
аглютеновый	gluten-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аглютеновый' → 'gluten-free'
адвентициальный	adventitious, adventive		needs_human_review	akzhigitov_2_5		tilde_artifact: 'адвентициальный' → 'adventitious, adventive'
актиноморфный	actinomorphic, actinomorphous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'актиноморфный' → 'actinomorphic, actinomorphous'
аллергизированный	allergen-challenged		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аллергизированный' → 'allergen-challenged'
альбуминозный	albuminous periostitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'альбуминозный' → 'albuminous periostitis'
амидочёрный	amido black		needs_human_review	akzhigitov_2_5		tilde_artifact: 'амидочёрный' → 'amido black'
анизотропный	anisotropic, anisotropous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'анизотропный' → 'anisotropic, anisotropous'
антеторакальный	prethoracic esophagus		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антеторакальный' → 'prethoracic esophagus'
антибиотикорезистентный	antibiotic-resistant		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антибиотикорезистентный' → 'antibiotic-resistant'
антикариесный	caries inhibitory dentifrice		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антикариесный' → 'caries inhibitory dentifrice'
антикариозный	anticariogenic, anticarious		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антикариозный' → 'anticariogenic, anticarious'
антителоиндуцированный	antibody-induced capping		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антителоиндуцированный' → 'antibody-induced capping'
антропогенный	anthropogenic, anthropogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'антропогенный' → 'anthropogenic, anthropogenous'
антропозоонозная инфекция, антропозооноз (инфекционные болезни)			reference_only	baldwin_reference		empty_en_after_fix
апирогенный	pyrogen-free		needs_human_review	akzhigitov_2_5		tilde_artifact: 'апирогенный' → 'pyrogen-free'
аподактильный	no-touch		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аподактильный' → 'no-touch'
апофизарный	apophysary, apophyseal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'апофизарный' → 'apophysary, apophyseal'
аппендикулярный	appendical, appendiceal		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аппендикулярный' → 'appendical, appendiceal'
аппендикулярный	appendiceal abscess		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аппендикулярный' → 'appendiceal abscess'
аритмогенный	arrhythmogenic, arrhythmological		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аритмогенный' → 'arrhythmogenic, arrhythmological'
ассоциированный	association neurosensory		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ассоциированный' → 'association neurosensory'
атетоидный	athetoid, athetosic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'атетоидный' → 'athetoid, athetosic'
атриовентрикулярный	atrioventricular rhythm		needs_human_review	akzhigitov_2_5		tilde_artifact: 'атриовентрикулярный' → 'atrioventricular rhythm'
аурикулотемпоральный	auriculotemporal nerve syndrome		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аурикулотемпоральный' → 'auriculotemporal nerve syndrome'
аутоиммунный	immune-mediated		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутоиммунный' → 'immune-mediated'
аутоиммунный	immune-mediated keratoconjunctivitis		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутоиммунный' → 'immune-mediated keratoconjunctivitis'
аутореактивный	autoresponsive allospecific cytoxic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутореактивный' → 'autoresponsive allospecific cytoxic'
аутотрофный	self-nourishing		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аутотрофный' → 'self-nourishing'
афферентный	centripetal acceleration		needs_human_review	akzhigitov_2_5		tilde_artifact: 'афферентный' → 'centripetal acceleration'
ахолический	acholic, acholous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'ахолический' → 'acholic, acholous'
аэробный	aerobian, aerobic		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аэробный' → 'aerobian, aerobic'
аэрогенный	aerogenic, aerogenous		needs_human_review	akzhigitov_2_5		tilde_artifact: 'аэрогенный' → 'aerogenic, aerogenous'
базальный	diaphragmatic pleioxeny		needs_human_review	akzhigitov_2_5		tilde_artifact: 'базальный' → 'diaphragmatic pleioxeny'
