Russian	English	Category	Confidence	Sources	_reject_reason
абеталипопротеинемия			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
аденоиды	s		approved	baldwin_reference|baldwin_strict	empty_en_after_fix
аллергочувствительный	allergy-predisposed		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'аллергочувствительный' → 'allergy-predisposed'
аллергочувствительный	allergy-prone		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'аллергочувствительный' → 'allergy-prone'
бактериальный	bacterial endocarditis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'бактериальный' → 'bacterial endocarditis'
бактериальный	bacterial vaginosis (BV)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'бактериальный' → 'bacterial vaginosis (BV)'
бессимптомный	symptom-free		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'бессимптомный' → 'symptom-free'
биологический	biologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'биологический' → 'biologic(al)'
биологический	biological half-life (BHL)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'биологический' → 'biological half-life (BHL)'
биометрия			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
ВИЧ-отрицательный	HIV-negative		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'ВИЧ-отрицательный' → 'HIV-negative'
внутриаортальный	intra-aortic		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'внутриаортальный' → 'intra-aortic'
внутриартериальный	intra-arterial		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'внутриартериальный' → 'intra-arterial'
внутрибрюшной	intra-abdominal		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'внутрибрюшной' → 'intra-abdominal'
внутриклеточный	intracellular enzyme		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'внутриклеточный' → 'intracellular enzyme'
внутрисуставной	intra-articular		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'внутрисуставной' → 'intra-articular'
возрастной	age-related		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'возрастной' → 'age-related'
возрастной	age-specific		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'возрастной' → 'age-specific'
гинекологический	gynecologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'гинекологический' → 'gynecologic(al)'
горизонтальный	horizontal nystagmus		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'горизонтальный' → 'horizontal nystagmus'
грипп			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
двигательный	centrifugal nerve		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'двигательный' → 'centrifugal nerve'
двуспиральный	double-stranded		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'двуспиральный' → 'double-stranded'
дерматолог			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
детский	infantile leishmaniasis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'детский' → 'infantile leishmaniasis'
диагностический	diagnostic instruments		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'диагностический' → 'diagnostic instruments'
