Russian	English	Category	Confidence	Sources
cpap аппарат	cpap machine	procedure	reference_only	my_glossary
dulcolax	dulcolax	medication	reference_only	my_glossary
dxa сканирование	dxa scan	test	reference_only	my_glossary
hba1c	hba1c	test	reference_only	my_glossary
hib	hib	medication	reference_only	my_glossary
humalog	humalog	medication	reference_only	my_glossary
lantus	lantus	medication	reference_only	my_glossary
leep	leep	procedure	reference_only	my_glossary
levemir	levemir	medication	reference_only	my_glossary
miralax	miralax	medication	reference_only	my_glossary
mmr	mmr	medication	reference_only	my_glossary
novolog	novolog	medication	reference_only	my_glossary
абляция	ablation	procedure	reference_only	my_glossary
автоматический перитонеальный диализ	automated peritoneal dialysis	procedure	reference_only	my_glossary
агрессивное поведение	aggressive behavior	symptom	reference_only	my_glossary
азот в составе мочевины крови	blood urea nitrogen	test	reference_only	my_glossary
акдс	dtap	medication	reference_only	my_glossary
активная амплитуда движений	active range of motion	procedure	reference_only	my_glossary
активная амплитуда движений ног	active leg range of motion	procedure	reference_only	my_glossary
активная фаза родов	active labor	procedure	reference_only	my_glossary
активная форма	active infection	diagnosis	reference_only	my_glossary
активность мозга	brain activity	test	reference_only	my_glossary
активные ингредиенты	active ingredients	other_medical	reference_only	my_glossary
активный образ жизни	physically active	other_medical	reference_only	my_glossary
алкоголь	alcohol	medication	reference_only	my_glossary
аллергены	asthma triggers	other_medical	reference_only	my_glossary
аллергены животных	pet dander	other_medical	reference_only	my_glossary
аллергическая реакция	allergic reaction	symptom	reference_only	my_glossary
аллергические пробы	allergy testing	test	reference_only	my_glossary
аллергические реакции	allergies	symptom	reference_only	my_glossary
аллергия	allergies	diagnosis	reference_only	my_glossary
аллергия на латекс	latex allergy	diagnosis	reference_only	my_glossary
алопеция	alopecia	symptom	reference_only	my_glossary
альвеолы	air sacs	anatomy	reference_only	my_glossary
амилоидные бляшки	amyloid plaques	other_medical	reference_only	my_glossary
амниотическая полость	amniotic cavity	anatomy	reference_only	my_glossary
амниоцентез	amniocentesis	procedure	reference_only	my_glossary
амплитуда движения	range of motion	procedure	reference_only	my_glossary
анализ a1c	a1c test	test	reference_only	my_glossary
анализ bun	bun test	test	reference_only	my_glossary
анализ глюкозы плазмы натощак	fasting plasma glucose	test	reference_only	my_glossary
анализ кала	stool test	test	reference_only	my_glossary
анализ крови	blood sample	test	reference_only	my_glossary
анализ крови на желтуху	blood test for jaundice	test	reference_only	my_glossary
анализ крови на сахар натощак	fasting blood sugar	test	reference_only	my_glossary
анализ крови на содержание глюкозы	glucose testing	test	reference_only	my_glossary
анализ крови на холестерин	cholesterol test	test	reference_only	my_glossary
анализ минеральной плотности костной ткани	bone mineral density test	test	reference_only	my_glossary
анализ мокроты	sputum culture	test	reference_only	my_glossary
анализ мочи	urine sample	test	reference_only	my_glossary
анализ мочи на белок	urine test for protein	test	reference_only	my_glossary
анализ на альбумин	albumin test	test	reference_only	my_glossary
анализ на микроальбумины	microalbuminuria test	test	reference_only	my_glossary
анализ на определение уровня сахара в крови	glucose testing	test	reference_only	my_glossary
анализ на триглицериды	triglycerides test	test	reference_only	my_glossary
анализ стула	stool sample	test	reference_only	my_glossary
анализ уровня сахара натощак	fasting blood sugar test	test	reference_only	my_glossary
анализы крови	blood tests	test	reference_only	my_glossary
анализы мочи	urine tests	test	reference_only	my_glossary
ангина	sore throat	diagnosis	reference_only	my_glossary
ангиограмма	angiogram	procedure	reference_only	my_glossary
