Russian	English	Issues	Sources
2 - верхний индекс	gsm	incomplete_target	xlsx_medconsult
220-230 условных единиц (усл. ед	220-230 relative units (RU	ocr_artifact	xlsx_silicone
Gm-группа, антигенная детерминанта глобулина	Gm	incomplete_target	baldwin_reference
абсолютный зрительный порог	threshold	generic_single_word; lost_qualifier:абсолютный	baldwin_reference
абсолютный порог ощущения	threshold	generic_single_word; lost_qualifier:абсолютный	baldwin_reference
абсолютный порог чувствительности	threshold	generic_single_word; lost_qualifier:абсолютный	baldwin_reference
абсолютный яркостный порог	threshold	generic_single_word; lost_qualifier:абсолютный	baldwin_reference
абстинентный алкогольный синдром	syndrome	generic_single_word	baldwin_reference
адъювантная [дополнительная] терапия	therapy	generic_single_word	baldwin_reference
акт признания конфиденциальности информации, полученной в ходе медицинского вмешательства	act	incomplete_target	baldwin_reference
алиментарная дистрофия, алиментарное истощение, военный [голодный] отёк	war	incomplete_target	baldwin_reference
аллергия на солнце	sun	incomplete_target	baldwin_reference
аллерготест, аллергическая проба	test	generic_single_word	baldwin_reference
альтер-эго, второе «я»	ego	incomplete_target	baldwin_reference
амблиопия, амблиопичный глаз	eye	incomplete_target	baldwin_reference
американский лейшманиоз	uta	incomplete_target	baldwin_reference
амилоидоз, амилоидная дистрофия	disease	generic_single_word	baldwin_reference
амнион, амниотический мешок, амниотическая оболочка	sac	incomplete_target	baldwin_reference
ампутационная пила	saw	incomplete_target	baldwin_reference
анализ желудочного сока	analysis	generic_single_word	baldwin_reference
анализ использования лекарственных средств	review	generic_single_word	baldwin_reference
анализ кала на скрытую кровь	test	generic_single_word	baldwin_reference
анализ кала, кал на исследование	sample	generic_single_word	baldwin_reference
анализ крови для определения отцовства	test	generic_single_word	baldwin_reference
анализ крови на холестерин	screening	generic_single_word	baldwin_reference
анализ крови, гемограмма	count	generic_single_word	baldwin_reference
анализ методом блоттинга в геле	analysis	generic_single_word	baldwin_reference
анализ методом электронного микрозонда	analysis	generic_single_word	baldwin_reference
анализ уровня глюкозы в крови натощак	test	generic_single_word	baldwin_reference
аневризматический мешок	sac	incomplete_target	baldwin_reference
анкилостомоз, кессонная болезнь	disease	generic_single_word	baldwin_reference
арифметический тест измерения объёма памяти	test	generic_single_word	baldwin_reference
артериальное русло	bed	incomplete_target	baldwin_reference
ахроматический зрительный порог	threshold	generic_single_word	baldwin_reference
безопасное сексуальное поведение	sex	incomplete_target	baldwin_reference
