source_term,target_term,source,quality,notes,status,category
) бактерии,bacterium,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) бактерия,bacteria,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) бациллы,bacillus,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) бронх,bronchi,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) бронхи,bronchus,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) веко,palpebrae,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) вошь,lice,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) грудь,pectora,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) зуб,teeth,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) зубы,tooth,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) кокк,cocci,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) операция,surgery,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) предсердия,atrium,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) фаланга,phalanges,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) эмбол,emboli,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
) яичко,testes,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
G-точка,G-spot,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
X-сцеплённый,X-linked,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
«бок-в-бок» анастомоз,side-to-side,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
«гусиная» кожа,goose-flesh,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
«дежурная» улыбка,social smile,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
«конец-в-бок» анастомоз,end-to-side,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Анонимные,Alcoholics Anonymous (AA),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Бартолиновая киста,Bartholin cyst,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ВИЧ-отрицательный,HIV-negative,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Всемирная организация здравоохранения (ВОЗ),World Health Organization,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ДВС-синдром (диссеминированное внутрисосудистое свёртывание),consumptive coagulopathy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ДНК (дизоксириборнуклеиновая кислота),DNA (deoxyribonucleic acid),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Закон о праве пациента на самостоятельные решения,Self-Determination Act,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ЛПНП (липопротеины низкой плотности),LDL (low density lipoprotein),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ЛСД [диэтиламид лизергиновой кислоты],LSD [lysergic acid diethylamide],Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Лидская шкала оценки нейропатических симптомов и признаков боли,Symptoms and Signs (LANSS),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
С-реактивный белок,protein (CRP),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
СПИД- ассоциированный комплекс,AIDS-related (ARC),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
СПИД-ассоциированный,AIDS-related,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Т-лимфоцит,-derived lymphocyte,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Т-лимфоцит,thymus-derived,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Управление по санитарному надзору за пищевыми продуктами и медикаментами,and Drug Administration (FDA),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Х-образные ноги,baker’s legs,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Центры по контролю и профилактике заболеваний,Prevention (CDC),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ЭКГ с нагрузкой,cardiac stress test,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ЭпиПен,autoinjector),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
Я-система,self-system,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абарогнозия,abarognosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминальная,abdominal gastrectomy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминальная аура,abdominal aura,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминальная пурпура,abdominal purpura,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминальный криз,abdominal crisis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминопатия,celiopathy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминопластика,abdominoplasty,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абдоминоскопия,abdominoscopy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абеталипопротеинемия,[Bassen-Kornzweig syndrome],Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абиогенез,abiogenesis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абиотрофия,abiotrophy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абклюзия,abclusion,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аблефария,ablepharia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аборт,embryotocia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аборт в ходу,in progress,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абортивная инфекция,abortive infection,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абортивная проказа,abortive leprosy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абортивные травы,abortive herbs,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абортцанг,forceps,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абразивный,abrasive,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абрахия,abrachia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсолютный,absolute,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсолютный подсчёт клеток СD4 (количество клеток СD4 в куб. мм крови),absolute CD4 cell count,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
