RU	EN	Category
24-hour urine test	суточный анализ мочи	test
a-fib	мерцательная аритмия	diagnosis
a1c test	анализ a1c	test
abdomen	брюшная полость	anatomy
abdomen	живот	anatomy
abdomen imaging	обследование брюшной полости	procedure
abdominal cramping	спазмы в животе	symptom
abdominal cramps	схватки в животе	symptom
abdominal distension	вздутие живота	symptom
abdominal pain	боль в животе	symptom
abdominal pain	боль в области живота	symptom
abdominal trauma	травма живота	symptom
abdominal ultrasound	узи брюшной полости	test
ablation	абляция	procedure
abnormal cells	атипичные клетки	symptom
abnormal heart rhythm	нарушение сердечного ритма	diagnosis
abnormal signs	необычные симптомы	symptom
acetaminophen	ацетаминофен	medication
acetaminophen	ацетоминофен	medication
ache	ломота	symptom
aching joints	боль в суставах	symptom
acquired immune deficiency syndrome	синдром приобретенного иммунодефицита	diagnosis
active infection	активная форма	diagnosis
active ingredients	активные ингредиенты	other_medical
active labor	активная фаза родов	procedure
active leg range of motion	активная амплитуда движений ног	procedure
active range of motion	активная амплитуда движений	procedure
acute bronchitis	острый бронхит	diagnosis
acute kidney failure	острая почечная недостаточность	diagnosis
advance directives	предварительные распоряжения	other_medical
aerobic exercises	аэробные упражнения	procedure
aerosol treatment	аэрозольная терапия	procedure
afterbirth	послед	anatomy
afterbirth pains	боли при выходе последа	symptom
afterbirth pains	схваткообразные боли в животе	symptom
aggressive behavior	агрессивное поведение	symptom
agitation	беспокойство	symptom
aids	спид	diagnosis
air bubbles	пузырьки воздуха	other_medical
air pollution	загрязнение воздуха	other_medical
air sacs	альвеолы	anatomy
air sacs	воздушные мешочки	anatomy
airway	дыхательные пути	anatomy
airway collapse	смыкание дыхательных путей	symptom
airway swelling	отек дыхательных путей	symptom
airways	воздушные пути	anatomy
airways	дыхательные пути	anatomy
albumin test	анализ на альбумин	test
alcohol	алкоголь	medication
alcohol pad	спиртовая салфетка	other_medical
alcohol-based hand sanitizer	дезинфицирующее средство для рук с содержанием спирта	medication
alcohol-based hand sanitizer	спиртовое дезинфицирующее средство	other_medical
allergic reaction	аллергическая реакция	symptom
allergies	аллергические реакции	symptom
allergies	аллергия	diagnosis
allergy	аллергия	diagnosis
allergy testing	аллергические пробы	test
alopecia	алопеция	symptom
alpha fetoprotein test	тест на альфа-фетопротеин	test
alveoli	альвеолы	anatomy
alzheimer's dementia	болезнь альцгеймера	diagnosis
alzheimer's disease	болезнь альцгеймера	diagnosis
amniocentesis	амниоцентез	procedure
amniotic cavity	амниотическая полость	anatomy
amniotic fluid	околоплодные воды	anatomy
amyloid plaques	амилоидные бляшки	other_medical
anemia	анемия	diagnosis
aneurysm clips	аневризматические клипсы	other_medical
angina	стенокардия	diagnosis
angiogram	ангиограмма	procedure
angiogram	ангиография	test
angioplasty	ангиопластика	procedure
animal bite	укус животного	diagnosis
ankle	голеностопный сустав	anatomy
ankle	лодыжка	anatomy
ankle circles	круговые движения лодыжками	procedure
ankle exercises	упражнения для лодыжек	procedure
ankle pumps	качающие движения голеностопного сустава	procedure
ankle stretch	вытягивание лодыжки	procedure
ankle swelling	отек лодыжек	symptom
anorexia	анорексия	diagnosis
anoxia	аноксия	diagnosis
antacids	антациды	medication
anthrax	сибирская язва	diagnosis
anthrax vaccine	вакцина против сибирской язвы	medication
anti-seizure medicine	противосудорожные препараты	medication
antibiotic	антибиотик	medication
antibiotic cream	крем с антимикробным действием	medication
antibiotic cream	мазь с антибиотиком	medication
antibiotic medicine	антибиотик	medication
antibiotic medicine	антибиотики	medication
antibiotic ointment	мазь с антимикробным действием	medication
antibiotics	антибиотики	medication
antibodies	антитела	other_medical
anticoagulant	антикоагулянты	medication
antidepressants	антидепрессанты	medication
antihistamine	антигистаминный препарат	medication
antiviral medicines	противовирусные препараты	medication
antiviral therapy	антивирусная терапия	procedure
anus	анус	anatomy
anus	задний проход	anatomy
anxiety	беспокойство	symptom
anxiety	тревога	diagnosis
anxiety	тревожность	symptom
aorta	аорта	anatomy
apd	апд	procedure
apnea	апноэ	symptom
appendectomy	аппендэктомия	procedure
appendix	аппендикс	anatomy
appetite changes	изменение аппетита	symptom
appetite suppressant	подавитель аппетита	other_medical
arch of foot	изгиб ступни	anatomy
areola	ареола	anatomy
arm injury	травма руки	diagnosis
arm soreness	боль в руке	symptom
armpit	подмышечная впадина	anatomy
artery is joined to a vein	артерия соединяется с веной	procedure
arthritis	артрит	diagnosis
artificial heart valve	искусственный клапан сердца	other_medical
artificial joint	искусственный сустав	other_medical
artificial kidney	искусственная почка	other_medical
asbestos	асбест	other_medical
aspart insulin	инсулин аспарт	medication
aspartame	аспартам	medication
aspirin	аспирин	medication
assistive devices	вспомогательные принадлежности	other_medical
asthma	астма	diagnosis
asthma attack	приступ астмы	symptom
asthma attacks	приступы астмы	diagnosis
asthma severity	степень тяжести астмы	diagnosis
asthma triggers	аллергены	other_medical
atrial fibrillation	фибрилляция предсердий	diagnosis
atrophic vaginitis	атрофический вагинит	diagnosis
aura	аура	symptom
automated peritoneal dialysis	автоматический перитонеальный диализ	procedure
autonomic neuropathy	вегетативная нейропатия	diagnosis
av fistula	артериовенозный свищ	procedure
axillary temperature	температура под мышкой	test
baby blues	послеродовый стресс	diagnosis
baby food	детское питание	other_medical
baby's heart rate	сердечный ритм плода	test
baby's heartbeat	сердцебиение плода	test
back	спина	anatomy
back injury	травма спины	diagnosis
back muscles	мышцы спины	anatomy
back pain	болит спина	symptom
back pain	боль в спине	symptom
back problems	проблемы со спиной	diagnosis
back strain	напряжение спины	symptom
backache	боль в спине	symptom
bacteria	бактерии	other_medical
bacterial infection	бактериальная инфекция	diagnosis
bacterial pneumonia	бактериальная пневмония	diagnosis
bacterial vaginosis	бактериальный вагиноз	diagnosis
bad dreams	ночные кошмары	symptom
bad taste in mouth	неприятный привкус во рту	symptom
balance loss	потеря равновесия	symptom
balance problems	проблемы с равновесием	symptom
ball of foot	передняя часть стопы	anatomy
ball of foot	подушечка стопы	anatomy
balloon	баллон	other_medical
balloon angioplasty	баллонная ангиопластика	procedure
band-aid	пластырь	other_medical
bandage	повязка	procedure
barium enema	бариевая клизма	test
barium mixture	бариевая смесь	medication
barium x-ray	рентген с барием	test
barium x-rays	рентген с барием	test
basal cell carcinoma	базально-клеточная карцинома	diagnosis
bat bite	укус летучей мыши	diagnosis
battery-powered wheelchair	инвалидное кресло на аккумуляторе	other_medical
behavior modification	изменение привычек	procedure
behavior problems	проблемы с поведением	symptom
benign tumors	доброкачественные опухоли	diagnosis
biofeedback	метод биологической обратной связи	procedure
biological emergency	биологическая катастрофа	other_medical
biophysical profile	биофизический профиль	test
biopsy	биопсия	procedure
biotherapy	биотерапия	procedure
birth control	противозачаточные средства	medication
birth control pills	противозачаточные таблетки	medication
birth defects	врожденные дефекты	diagnosis
bisacodyl	бисакодил	medication
biscodyl	бисакодил	medication
