Russian	English	Category	Confidence	Sources	Issues
#1] атлант, первый шейный позвонок	vertebra		reference_only	baldwin_reference	
1. Ill нь епетсго оньлогоклая,иненяьпо	parent ~ ое ндохсиое нневтсракелво тсещев blind [dead]		needs_review	akzhigitov_dict	
1. ие втсйедзовв,отнемреф ое нвитатнемреф	левантных самому действию) enzyme		needs_review	akzhigitov_dict	
1. т,ицортса ая ньлаилгортсака телк2. и­реп	satellite ~ 1. ый нйитнамт,ицоилг -актелкт,иллетас spider		needs_review	akzhigitov_dict	
1. я,уртс ое нйуртсие нечет2. ие навыморп(ы)нар	х)икс ий наводелсси jet		needs_review	akzhigitov_dict	
2) углекислый газ	CO		reference_only	baldwin_reference	
70 ус риворетнэ 70 (возбудитель геморрагического	enteromegaly ия лагеморетнэ (патологическое увеличе­		needs_review	akzhigitov_dict	
[жёлчный] билиарный рефлюкс	reflux		reference_only	baldwin_reference	
anemia) железодефицитная анемия	deficiency		reference_only	baldwin_reference	
as of (Министерство здравоохранения и социального	Health and Social Development		reference_only	vaccine_pdf_WHO	
Canada” Канада»	pronounced as “SEEDA		reference_only	vaccine_pdf_WHO	
childbirth) тужиться	push		reference_only	baldwin_reference	
Community of СНГ (Содружество независимых государств	CIS (Commonwealth		reference_only	vaccine_pdf_WHO	
company) основная страховая компания	primary		reference_only	baldwin_reference	
company) основная страховая компания	primary insurance		reference_only	baldwin_reference	
cpap аппарат	cpap machine	procedure	reference_only	my_medlineplus	
Cеротипирование	Serotyping		reference_only	vaccine_pdf_WHO	
cерповидный эрироцит	cell		reference_only	baldwin_reference	
cлинговая операция (оперативный метод лечения недержания мочи	procedures		reference_only	baldwin_reference	
cосудорасширяющее средство	vasodilator		reference_only	baldwin_reference	
cосудорасширяющий	vasodilator		reference_only	baldwin_reference	
cосудосуживающее средство	vasoconstrictor		reference_only	baldwin_reference	
cосудосуживающий	vasoconstrictor		reference_only	baldwin_reference	
cпина бифида, расщеплённый позвоночник (порок развития позвоночника часто сочетающийся с грыжей оболочек выбухающих через дефект кости	bifida		reference_only	baldwin_reference	
cтол	table		reference_only	baldwin_reference	
dental) зубная имплантация	implantology		reference_only	baldwin_reference	
dental) зубная нить, флосс	floss		reference_only	baldwin_reference	
dental) зубной фарфор	porcelain		reference_only	baldwin_reference	
dental) ортопед-имплантолог	implantologist		reference_only	baldwin_reference	
dental, orthodontic) ортодонтические брекеты	braces		reference_only	baldwin_reference	
