Russian	English	Confidence	Sources
saccharum свекловичный  сахар	saccharose	needs_human_review	akzhigitov_2_5
А инфекционный  гепатит	hepatitis	needs_human_review	akzhigitov_2_5
а остро прогрессирующий казеозный туберкулёз лёгких	phthisis florid	needs_human_review	akzhigitov_2_5
А палочка паратифа А	bactcritic paratyphi; salmonella paratyphi	needs_human_review	akzhigitov_2_5
а-блокатор	a-adrenoreceptor blocker	needs_human_review	akzhigitov_2_5
Аббе - Цейсса камера	Abbe - Zeiss apparatus	needs_human_review	akzhigitov_2_5
аберрантная  форма	aberrant shape	needs_human_review	akzhigitov_2_5
аберрантные клетки желудочного эпителия в пупке	aberrant umbilical stomach	needs_human_review	akzhigitov_2_5
абеталипопротеинемия	Bassen - Kornzweig syndrome	needs_human_review	akzhigitov_2_5
аборт в первые три месяца беременности	embryonic abortion	needs_human_review	akzhigitov_2_5
аборт в ходу	abortion in progress	needs_human_review	akzhigitov_2_5
аборт на четвёртом месяце беременности	fetal abortion	needs_human_review	akzhigitov_2_5
абортивный  зародыш	abortive embryo	needs_human_review	akzhigitov_2_5
абортогенное  антитело	aborter's antibody, pi antibodies	needs_human_review	akzhigitov_2_5
абразивная полирующая  полоска	finishing strip	needs_human_review	akzhigitov_2_5
Абрамса  рефлекс	Abrams' (heart) reflex	needs_human_review	akzhigitov_2_5
абсолютная  глаукома	absolute glaucoma	needs_human_review	akzhigitov_2_5
абсолютная  рефрактерность	absolute refractoriness	needs_human_review	akzhigitov_2_5
абсолютный  лейкоцитоз	absolute leukocytosis	needs_human_review	akzhigitov_2_5
абсорбированная  антисыворотка	preabsorbed immune	needs_human_review	akzhigitov_2_5
абсорбированный  антиген	fed antigen	needs_human_review	akzhigitov_2_5
абсорбирующая мазевая	absorption for filling	needs_human_review	akzhigitov_2_5
абсорбционная  способность	absorbing ability; absorbing power	needs_human_review	akzhigitov_2_5
абсорбция  внутри лунки	intrabasin absorption	needs_human_review	akzhigitov_2_5
абсцесс	apostem(a)	needs_human_review	akzhigitov_2_5
