EN	RU	Category
abdomen	брюшная полость	anatomy
abdomen	живот	anatomy
afterbirth	послед	anatomy
air sacs	альвеолы	anatomy
air sacs	воздушные мешочки	anatomy
airway	дыхательные пути	anatomy
airways	дыхательные пути	anatomy
airways	воздушные пути	anatomy
alveoli	альвеолы	anatomy
amniotic cavity	амниотическая полость	anatomy
amniotic fluid	околоплодные воды	anatomy
ankle	лодыжка	anatomy
ankle	голеностопный сустав	anatomy
anus	анус	anatomy
anus	задний проход	anatomy
aorta	аорта	anatomy
appendix	аппендикс	anatomy
arch of foot	изгиб ступни	anatomy
areola	ареола	anatomy
armpit	подмышечная впадина	anatomy
back	спина	anatomy
back muscles	мышцы спины	anatomy
ball of foot	подушечка стопы	anatomy
ball of foot	передняя часть стопы	anatomy
bladder	мочевой пузырь	anatomy
blood cells	кровяные клетки	anatomy
blood supplies	кровоток	anatomy
blood vessel	кровеносный сосуд	anatomy
blood vessels	кровеносные сосуды	anatomy
blood vessels	сосуды	anatomy
bone marrow	костный мозг	anatomy
bones	кости	anatomy
brain	мозг	anatomy
breast	грудь	anatomy
breast tissue	ткань груди	anatomy
breast tissue	ткань молочной железы	anatomy
breastbone	грудина	anatomy
breasts	грудь	anatomy
bronchi	бронхи	anatomy
bronchioles	бронхиолы	anatomy
bronchus	бронхи	anatomy
buttocks	ягодицы	anatomy
cancer cells	раковые клетки	anatomy
cartilage	хрящ	anatomy
cerebrospinal fluid	спинномозговая жидкость	anatomy
cervical curve	шейный изгиб	anatomy
cervix	шейка матки	anatomy
cheek	щека	anatomy
chest	грудная клетка	anatomy
chest bones	кости груди	anatomy
circumcised penis	обрезанный пенис	anatomy
colon	ободочная кишка	anatomy
colon	толстая кишка	anatomy
colon lining	выстилка ободочной кишки	anatomy
colostrum	молозиво	anatomy
coronary arteries	коронарные артерии	anatomy
csf	цсж	anatomy
diaphragm	диафрагма	anatomy
digestive tract	пищеварительный тракт	anatomy
discs	диски	anatomy
duodenum	двенадцатиперстная кишка	anatomy
ear canal	слуховой проход	anatomy
eardrum	барабанная перепонка	anatomy
elbow	локоть	anatomy
elbow joint	локтевой сустав	anatomy
esophagus	пищевод	anatomy
estrogen	эстроген	anatomy
fallopian tube	фалопиева труба	anatomy
femur	бедренная кость	anatomy
fibula	малая берцовая кость	anatomy
fingernails	ногти на ручках	anatomy
fingers	пальцы	anatomy
fist	кулак	anatomy
fontanelle	родничок	anatomy
forearm	предплечье	anatomy
foreskin	крайняя плоть	anatomy
frontal lobe	лобная доля	anatomy
genital area	область гениталий	anatomy
genitals	гениталии	anatomy
glans	головка пениса	anatomy
good leg	здоровая нога	anatomy
graft	графт	anatomy
groin site	область паха	anatomy
gums	десны	anatomy
heart	сердце	anatomy
heart muscle	сердечная мышца	anatomy
heart valve	сердечный клапан	anatomy
heart's activity	работа сердца	anatomy
heel	пятка	anatomy
hip	бедро	anatomy
hip joint	тазобедренный сустав	anatomy
hipbone	тазовая кость	anatomy
hippocampus	гипокамп	anatomy
immune system	иммунная система	anatomy
incision	шов	anatomy
index finger	указательный палец	anatomy
injection site	место инъекции	anatomy
injured arm	травмированная рука	anatomy
injured leg	травмированная нога	anatomy
injured leg	травмированная ног	anatomy
joint	сустав	anatomy
joint space	суставная щель	anatomy
joints	суставы	anatomy
kidneys	почки	anatomy
knee	колено	anatomy
knee joint	коленный сустав	anatomy
knuckles	суставы пальцев	anatomy
labia	половые губы	anatomy
large bowel	толстая кишка	anatomy
large intestine	толстая кишка	anatomy
large intestine	толстый кишечник	anatomy
large intestines	толстый кишечник	anatomy
left atrium	левое предсердие	anatomy
leg	нога	anatomy
lens	хрусталик	anatomy
ligament	связка	anatomy
ligaments	связки	anatomy
lips	губы	anatomy
little finger	мизинец	anatomy
liver	печень	anatomy
lower arm	предплечье	anatomy
lower back	поясница	anatomy
lumbar curve	поясничный изгиб	anatomy
lumbar spine	поясничный отдел позвоночника	anatomy
lung	легкое	anatomy
lungs	легкие	anatomy
lymph nodes	лимфатические узлы	anatomy
lymph nodes	лимфоузлы	anatomy
menstrual cycles	менструальный цикл	anatomy
middle ear	среднее ухо	anatomy
mole	родинка	anatomy
muscles	мышцы	anatomy
nails	ногти	anatomy
navel	пупок	anatomy
neck	шея	anatomy
nerves	нервы	anatomy
nipple	сосок	anatomy
nipples	соски	anatomy
nozzle	наконечник	anatomy
occipital lobe	затылочная доля	anatomy
optic nerve	зрительный нерв	anatomy
oral mucosa	слизистая оболочка рта	anatomy
ovaries	яичники	anatomy
ovary	яичник	anatomy
palm	ладонь	anatomy
pancreas	поджелудочная железа	anatomy
parietal lobe	теменная доля	anatomy
patella	коленная чашечка	anatomy
pelvic floor muscles	мышцы тазового дна	anatomy
pelvis	тазовая кость	anatomy
perineal area	промежность	anatomy
perineum	промежность	anatomy
pharynx	глотка	anatomy
pinna	наружное ухо	anatomy
placenta	плацента	anatomy
plaque	бляшки	anatomy
platelets	тромбоциты	anatomy
rectum	прямая кишка	anatomy
red blood cells	эритроциты	anatomy
red blood cells	красные кровяные клетки	anatomy
red blood cells	красные кровяные тельца	anatomy
retina	сетчатка	anatomy
retinal blood vessels	сосуды сетчатки	anatomy
retinal blood vessels	кровеносные сосуды сетчатки	anatomy
ribs	ребра	anatomy
right atrium	правое предсердие	anatomy
rotator cuff	мышцы-вращатели плеча	anatomy
sacrum	крестец	anatomy
salivary glands	слюнные железы	anatomy
scalp	кожа головы	anatomy
shoulder	плечо	anatomy
shoulder blades	лопатки	anatomy
sinus node	синусный узел	anatomy
sinus passages	синусовые пазухи	anatomy
small bowel	тонкий кишечник	anatomy
small intestine	тонкий кишечник	anatomy
soft spots	мягкие участки	anatomy
soft tissues	мягкие ткани	anatomy
spinal cord	спинной мозг	anatomy
spinal curves	спинные изгибы	anatomy
spine	позвоночник	anatomy
sputum	мокрота	anatomy
stomach	желудок	anatomy
tailbone	копчик	anatomy
teeth	зубы	anatomy
temporal lobe	височная доля	anatomy
thighs	бедра	anatomy
thoracic curve	грудной изгиб	anatomy
throat muscles	мышцы глотки	anatomy
thumb	большой палец	anatomy
thyroid gland	щитовидная железа	anatomy
thyroid level	функция щитовидной железы	anatomy
tibia	большая берцовая кость	anatomy
tissue	ткань	anatomy
toenails	ногти на ножках	anatomy
toes	пальцы ноги	anatomy
tongue	язык	anatomy
tongue base	корень языка	anatomy
trachea	трахея	anatomy
transverse abdominis	поперечная мышца живота	anatomy
tumor	опухоль	anatomy
tumors	опухоли	anatomy
umbilical cord	пуповина	anatomy
umbilical cord	пупочный остаток	anatomy
upper arm	предплечье	anatomy
ureter	мочеиспускательный канал	anatomy
urethra	уретра	anatomy
urine	моча	anatomy
uterus	матка	anatomy
vagina	влагалище	anatomy
vertebrae	позвонки	anatomy
weak leg	ослабленная ног	anatomy
white blood cells	белые кровяные клетки	anatomy
wrist	запястье	anatomy
a-fib	мерцательная аритмия	diagnosis
abnormal heart rhythm	нарушение сердечного ритма	diagnosis
acquired immune deficiency syndrome	синдром приобретенного иммунодефицита	diagnosis
active infection	активная форма	diagnosis
acute bronchitis	острый бронхит	diagnosis
acute kidney failure	острая почечная недостаточность	diagnosis
aids	спид	diagnosis
allergies	аллергия	diagnosis
allergy	аллергия	diagnosis
alzheimer's dementia	болезнь альцгеймера	diagnosis
alzheimer's disease	болезнь альцгеймера	diagnosis
anemia	анемия	diagnosis
angina	стенокардия	diagnosis
animal bite	укус животного	diagnosis
anorexia	анорексия	diagnosis
anoxia	аноксия	diagnosis
anthrax	сибирская язва	diagnosis
anxiety	тревога	diagnosis
arm injury	травма руки	diagnosis
arthritis	артрит	diagnosis
asthma	астма	diagnosis
asthma attacks	приступы астмы	diagnosis
asthma severity	степень тяжести астмы	diagnosis
atrial fibrillation	фибрилляция предсердий	diagnosis
atrophic vaginitis	атрофический вагинит	diagnosis
autonomic neuropathy	вегетативная нейропатия	diagnosis
baby blues	послеродовый стресс	diagnosis
back injury	травма спины	diagnosis
back problems	проблемы со спиной	diagnosis
bacterial infection	бактериальная инфекция	diagnosis
bacterial pneumonia	бактериальная пневмония	diagnosis
bacterial vaginosis	бактериальный вагиноз	diagnosis
basal cell carcinoma	базально-клеточная карцинома	diagnosis
bat bite	укус летучей мыши	diagnosis
benign tumors	доброкачественные опухоли	diagnosis
birth defects	врожденные дефекты	diagnosis
bladder infection	инфекция мочеиспускательного канала	diagnosis
bladder infection	инфекция мочевого пузыря	diagnosis
bladder stones	камни в мочевом пузыре	diagnosis
bleeding disorder	нарушение кровообращения	diagnosis
blockage	закупорка сосуда	diagnosis
blockage in blood vessels	закупорка кровеносных сосудов	diagnosis
blood cancer	рак крови	diagnosis
blood clots	тромбы	diagnosis
blood diseases	заболевания крови	diagnosis
blood vessel disease	сосудистые заболевания	diagnosis
blood vessel disease	заболевание кровеносных сосудов	diagnosis
boils	фурункулез	diagnosis
bone cancer	рак костей	diagnosis
bone fracture	перелом кости	diagnosis
bone fracture	переломы костей	diagnosis
bone fracture	перелом	diagnosis
bowel disease	заболевание кишечника	diagnosis
brain death	смерть мозга	diagnosis
brain disorders	нарушения работы мозга	diagnosis
brain injury	травма головного мозга	diagnosis
brain injury	черепно-мозговая травма	diagnosis
brain tumors	опухоли мозга	diagnosis
breast cancer	рак груди	diagnosis
breast infection	инфекция молочной железы	diagnosis
breast infection	инфекция в груди	diagnosis
broken bone	сломанная кость	diagnosis
broken bone	перелом	diagnosis
broken bones	переломы	diagnosis
bronchitis	бронхит	diagnosis
bulimia	булимия	diagnosis
burns	ожоги	diagnosis
cancer	рак	diagnosis
cancer in the blood	рак крови	diagnosis
cancer in the bone	рак костей	diagnosis
carbon monoxide poisoning	отравление угарным газом	diagnosis
carcinoma	карцинома	diagnosis
cataracts	катаракта	diagnosis
cerebral hemorrhage	кровоизлияние в мозг	diagnosis
cerebral palsy	церебральный паралич	diagnosis
cervical cancer	рак шейки матки	diagnosis
chemical poisoning	химическое отравление	diagnosis
chest cold	простудное заболевание	diagnosis
chickenpox	ветряная оспа	diagnosis
chronic bronchitis	хронический бронхит	diagnosis
chronic kidney failure	хроническая почечная недостаточность	diagnosis
chronic obstructive pulmonary disease	хронические обструктивные болезни легких	diagnosis
cluster headache	кластерная головная боль	diagnosis
cold	простуда	diagnosis
colon cancer	рак толстой кишки	diagnosis
colon cancer	рак ободочной кишки	diagnosis
colorectal cancer	колоректальный рак	diagnosis
coma	кома	diagnosis
concussion	сотрясение	diagnosis
congestive heart failure	застойная сердечная недостаточность	diagnosis
contusion	контузия	diagnosis
copd	хобл	diagnosis
coronary artery disease	ишемическая болезнь сердца	diagnosis
cushing's disease	болезнь кушинга	diagnosis
cyst	киста	diagnosis
cystic fibrosis	кистозный фиброз	diagnosis
cysts	кисты	diagnosis
dehydration	обезвоживание организма	diagnosis
dehydration	обезвоживание	diagnosis
dementia	деменция	diagnosis
dementia	слабоумие	diagnosis
depression	депрессия	diagnosis
diabetes	диабет	diagnosis
diabetic neuropathy	диабетическая невропатия	diagnosis
diabetic neuropathy	диабетическая нейропатия	diagnosis
diabetic retinopathy	диабетическая ретинопатия	diagnosis
diffuse axonal injury	диффузное аксональное повреждение	diagnosis
diphtheria	дифтерия	diagnosis
drowning	утопление	diagnosis
dysphagia	дисфагия	diagnosis
ear infection	ушная инфекция	diagnosis
eclampsia	эклампсия	diagnosis
eczema	экзема	diagnosis
emphysema	эмфизема	diagnosis
end-stage renal failure	терминальная стадия почечной недостаточности	diagnosis
engorgement	нагрубание молочных желез	diagnosis
enlarged heart	увеличенное сердце	diagnosis
epidural hematoma	эпидуральная гематома	diagnosis
epilepsy	эпилепсия	diagnosis
flat head syndrome	синдром плоской головы	diagnosis
flat spots on baby's head	синдром плоской головы	diagnosis
flu	грипп	diagnosis
gastroparesis	гастропарез	diagnosis
genetic problems	генетические проблемы	diagnosis
genital warts	генитальные бородавки	diagnosis
gestational diabetes	гестационный диабет	diagnosis
gestational hypertension	гестационная гипертензия	diagnosis
glaucoma	глаукома	diagnosis
group b strep	стрептококк группы b	diagnosis
group b streptococcus	стрептококк группы в	diagnosis
haemophilus influenzae type b	гемофильная инфекция типа b	diagnosis
hardening of blood vessels	уменьшение эластичности кровеносных сосудов	diagnosis
head and neck cancer	опухоли головы и шеи	diagnosis
head and neck cancer	опухоли головы и гортани	diagnosis
head disease	болезни головы	diagnosis
head lice	головные вши	diagnosis
hearing loss	потеря слуха	diagnosis
heart attack	инфаркт	diagnosis
heart attack	инфаркт миокарда	diagnosis
heart attack	сердечный приступ	diagnosis
heart damage	повреждение сердца	diagnosis
heart disease	сердечные заболевания	diagnosis
heart disease	заболевания сердца	diagnosis
heart disease	сердечно-сосудистые заболевания	diagnosis
heart disease	сердечно-сосудистые болезни	diagnosis
heart disease	болезни сердца	diagnosis
heart disease	сердечное заболевание	diagnosis
heart disease	сердечно-сосудистое заболевание	diagnosis
heart failure	сердечная недостаточность	diagnosis
heart problem	проблемы с сердцем	diagnosis
heart valve problems	пороки клапанов сердца	diagnosis
heat exhaustion	тепловое истощение	diagnosis
heat stroke	тепловой удар	diagnosis
hematoma	гематома	diagnosis
hemophilia	гемофилия	diagnosis
hemorrhoids	геморрой	diagnosis
hepatitis	гепатит	diagnosis
hepatitis a	гепатит а	diagnosis
hepatitis b	гепатит в	diagnosis
herpes	герпес	diagnosis
high blood calcium	высокий уровень кальция в крови	diagnosis
high blood cholesterol	высокий уровень холестерина	diagnosis
high blood cholesterol	повышенное содержание холестерина	diagnosis
high blood pressure	высокое давление	diagnosis
high blood pressure	повышение артериального давления	diagnosis
high blood pressure	высокое кровяное давление	diagnosis
high blood pressure	повышенное кровяное давление	diagnosis
high blood pressure	повышенное давление	diagnosis
high cholesterol	высокий холестерин	diagnosis
high cholesterol	высокий уровень холестерина	diagnosis
high cholesterol	повышенный уровень холестерина	diagnosis
hiv	вич	diagnosis
hodgkin's lymphoma	лимфома ходжкина	diagnosis
hpv	впч	diagnosis
hsv	герпес	diagnosis
human immunodeficiency virus	вирус иммунодефицита человека	diagnosis
human papillomavirus	вирус папилломы человека	diagnosis
hypercalcemia	гиперкальциемия	diagnosis
hyperglycemia	гипергликемия	diagnosis
hypertension	гипертензия	diagnosis
hypertension	гипертония	diagnosis
hypoglycemia	гипогликемия	diagnosis
hypothermia	гипотермия	diagnosis
hypothyroidism	гипотиреоз	diagnosis
immunosuppression	иммунодепрессия	diagnosis
incontinence	недержание	diagnosis
infected wounds	инфицированные раны	diagnosis
infection	инфекция	diagnosis
infection	заражение	diagnosis
