source_text,target_text,quality,notes,tm_status
абактериальный; стерильный,abacterial,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абактериальный пристеночный тромбоэндокардит,endocarditis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
душевное расстройство,abalienation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
бросать; отказываться; прекращать,abandon,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
отказ; оставление; покидание,abandonment,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
невроз покинутости,neurosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
оставление ребёнка,child,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
оставление супруга,spouse,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абарогнозия,abarognosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
диартроз; синовиальное,abarthrosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
внесуставной,abarticular,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
вывих; диартроз,abarticulation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"опущение; выпадение (органа); регресс, падение",abasement,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абазия (неспособность ходить),abasia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абазия-астазия,astasia-,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
ослабление боли; ослабление выраженности синдрома,abatement,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абклюзия,abclusion,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
живот; брюшная полость,abdomen,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
острый живот,acute,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
мягкий живот,soft,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абдоминальный, брюшной",abdominal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальный актиномикоз,actinomycosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
спайки брюшной полости,adhesions,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
центральное ожирение,abdominal adiposity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аневризма брюшной,abdominal aneurysm,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
субдиафрагмальная стенокардия,angina,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшная аорта,aorta,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная аортография,aortography,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
чрезбрюшной/ чрезбрюшинный доступ,approach,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшная астма,abdominal asthma,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная аура,abdominal aura,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
баллотирование,ballottement,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальный бандаж; бандаж-набрюшник,band,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальный бандаж; бандаж-набрюшник,binder,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
метеоризм,(AB),strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшное дыхание,breathing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
паховый канал,canal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальный катетер,catheter,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"брюшно- стеночное кесарево сечение, абдоминальное кесарево сечение",section,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
окружность живота,circumference,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
спастическая боль в животе,cramp,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальный криз,abdominal crisis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
родоразрешение с,abdominal delivery,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
желудочно-кишечный дискомфорт,discomfort,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
вздутие живота,distension,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
асцит,dropsy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная эпилепсия,epilepsy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
фасция брюшной стенки,abdominal fascia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
свищ брюшной полости,abdominal fistula,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшная беременность,abdominal gestation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная,abdominal gastrectomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
грыжа брюшной стенки,hernia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная экстрипация матки,hysterectomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная имплантация,implantation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
надрез брюшной стенки,incision,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшина,membrane,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная мигрень,migraine,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
кишечный шум,abdominal murmur,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"синдром отвислого живота, синдром Игла-Барретта","syndrome, Eagle-Barrette syndrome",strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
мышцы брюшной полости,muscles,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
чрезбрюшинная нефрэктомия,nephrectomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
центральное ожирение (отложение жировой клетчатки в абдоминальной области),obesity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
полостная операция; операция на органах брюшной полости,operation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
боль в животе,abdominal pain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пальпация живота,palpation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пункция брюшной стенки,paracentesis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
объём крови в сосудах живота,pool,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшная беременность,pregnancy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшное давление,abdominal pressure,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминальная пурпура,abdominal purpura,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
белая линия живота,abdominal raphe,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшной рефлекс,abdominal reflex,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшное дыхание,abdominal respiration,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшной крючок,abdominal retractor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
бандаж для живота,abdominal support,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
полостная операция,abdominal surgery,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
поддиафрагмальный толчок,thrust,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
травма живота,trauma,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшной тип дыхания,breathing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
стенка брюшной полости,abdominal wall,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
рентгеновское исследование брюшной полости,X-ray,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшно-промежностный,abdominoperenial,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминопластика,abdominoplasty,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абдоминоскопия,abdominoscopy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшно-мошоночный,abdominoscrotal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшно-грудной,abdominothoracic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
брюшно-влагалищный,abdominovaginal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
отводящий нерв,abducens,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
отводящий,abducent,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"похищение силой; отвод, абдукция",abduction,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"похититель; отводящая мышца, абдуктор",abductor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аберрация (отклонение от нормы),aberrance,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аберрантный; отклоняющийся от нормального строения,aberrant,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
мутантный клон,clone,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аберрантный [добавочный] зоб,goiter,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"нарушение; отклонение от нормы, аберрация",aberration,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
психическое расстройство,mental,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абеталипопротеинемия,[Bassen-Kornzweig syndrome],strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
питать отвращение; ненавидеть,abhor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
