source_term	target_term	category	confidence
24-hour urine test	суточный анализ мочи	test	approved
a-fib	мерцательная аритмия	diagnosis	approved
a1c test	анализ a1c	test	approved
abdomen	брюшная полость	anatomy	approved
abdomen	живот	anatomy	approved
abdomen imaging	обследование брюшной полости	procedure	approved
abdominal cramping	спазмы в животе	symptom	approved
abdominal cramps	схватки в животе	symptom	approved
abdominal distension	вздутие живота	symptom	approved
abdominal pain	боль в животе	symptom	approved
abdominal pain	боль в области живота	symptom	approved
abdominal trauma	травма живота	symptom	approved
abdominal ultrasound	узи брюшной полости	test	approved
ablation	абляция	procedure	approved
abnormal cells	атипичные клетки	symptom	approved
abnormal heart rhythm	нарушение сердечного ритма	diagnosis	approved
abnormal signs	необычные симптомы	symptom	approved
acetaminophen	ацетаминофен	medication	approved
acetaminophen	ацетоминофен	medication	approved
ache	ломота	symptom	approved
aching joints	боль в суставах	symptom	approved
acquired immune deficiency syndrome	синдром приобретенного иммунодефицита	diagnosis	approved
active infection	активная форма	diagnosis	approved
active ingredients	активные ингредиенты	other_medical	approved
active labor	активная фаза родов	procedure	approved
active leg range of motion	активная амплитуда движений ног	procedure	approved
active range of motion	активная амплитуда движений	procedure	approved
acute bronchitis	острый бронхит	diagnosis	approved
acute kidney failure	острая почечная недостаточность	diagnosis	approved
advance directives	предварительные распоряжения	other_medical	approved
aerobic exercises	аэробные упражнения	procedure	approved
aerosol treatment	аэрозольная терапия	procedure	approved
afterbirth	послед	anatomy	approved
afterbirth pains	боли при выходе последа	symptom	approved
afterbirth pains	схваткообразные боли в животе	symptom	approved
aggressive behavior	агрессивное поведение	symptom	approved
agitation	беспокойство	symptom	approved
aids	спид	diagnosis	approved
air bubbles	пузырьки воздуха	other_medical	approved
air pollution	загрязнение воздуха	other_medical	approved
air sacs	альвеолы	anatomy	approved
air sacs	воздушные мешочки	anatomy	approved
airway	дыхательные пути	anatomy	approved
airway collapse	смыкание дыхательных путей	symptom	approved
airway swelling	отек дыхательных путей	symptom	approved
airways	воздушные пути	anatomy	approved
airways	дыхательные пути	anatomy	approved
albumin test	анализ на альбумин	test	approved
alcohol	алкоголь	medication	approved
alcohol pad	спиртовая салфетка	other_medical	approved
alcohol-based hand sanitizer	дезинфицирующее средство для рук с содержанием спирта	medication	approved
alcohol-based hand sanitizer	спиртовое дезинфицирующее средство	other_medical	approved
allergic reaction	аллергическая реакция	symptom	approved
allergies	аллергические реакции	symptom	approved
allergies	аллергия	diagnosis	approved
allergy	аллергия	diagnosis	approved
allergy testing	аллергические пробы	test	approved
alopecia	алопеция	symptom	approved
alpha fetoprotein test	тест на альфа-фетопротеин	test	approved
alveoli	альвеолы	anatomy	approved
alzheimer's dementia	болезнь альцгеймера	diagnosis	approved
alzheimer's disease	болезнь альцгеймера	diagnosis	approved
amniocentesis	амниоцентез	procedure	approved
amniotic cavity	амниотическая полость	anatomy	approved
amniotic fluid	околоплодные воды	anatomy	approved
amyloid plaques	амилоидные бляшки	other_medical	approved
anemia	анемия	diagnosis	approved
aneurysm clips	аневризматические клипсы	other_medical	approved
angina	стенокардия	diagnosis	approved
angiogram	ангиограмма	procedure	approved
angiogram	ангиография	test	approved
angioplasty	ангиопластика	procedure	approved
animal bite	укус животного	diagnosis	approved
ankle	голеностопный сустав	anatomy	approved
ankle	лодыжка	anatomy	approved
ankle circles	круговые движения лодыжками	procedure	approved
ankle exercises	упражнения для лодыжек	procedure	approved
ankle pumps	качающие движения голеностопного сустава	procedure	approved
ankle stretch	вытягивание лодыжки	procedure	approved
ankle swelling	отек лодыжек	symptom	approved
anorexia	анорексия	diagnosis	approved
anoxia	аноксия	diagnosis	approved
antacids	антациды	medication	approved
anthrax	сибирская язва	diagnosis	approved
anthrax vaccine	вакцина против сибирской язвы	medication	approved
anti-seizure medicine	противосудорожные препараты	medication	approved
antibiotic	антибиотик	medication	approved
antibiotic cream	крем с антимикробным действием	medication	approved
antibiotic cream	мазь с антибиотиком	medication	approved
antibiotic medicine	антибиотик	medication	approved
antibiotic medicine	антибиотики	medication	approved
antibiotic ointment	мазь с антимикробным действием	medication	approved
antibiotics	антибиотики	medication	approved
antibodies	антитела	other_medical	approved
anticoagulant	антикоагулянты	medication	approved
antidepressants	антидепрессанты	medication	approved
antihistamine	антигистаминный препарат	medication	approved
antiviral medicines	противовирусные препараты	medication	approved
antiviral therapy	антивирусная терапия	procedure	approved
anus	анус	anatomy	approved
anus	задний проход	anatomy	approved
anxiety	беспокойство	symptom	approved
anxiety	тревога	diagnosis	approved
anxiety	тревожность	symptom	approved
aorta	аорта	anatomy	approved
apd	апд	procedure	approved
apnea	апноэ	symptom	approved
appendectomy	аппендэктомия	procedure	approved
appendix	аппендикс	anatomy	approved
appetite changes	изменение аппетита	symptom	approved
appetite suppressant	подавитель аппетита	other_medical	approved
arch of foot	изгиб ступни	anatomy	approved
areola	ареола	anatomy	approved
arm injury	травма руки	diagnosis	approved
arm soreness	боль в руке	symptom	approved
armpit	подмышечная впадина	anatomy	approved
artery is joined to a vein	артерия соединяется с веной	procedure	approved
arthritis	артрит	diagnosis	approved
artificial heart valve	искусственный клапан сердца	other_medical	approved
artificial joint	искусственный сустав	other_medical	approved
