# label: Wikidata — болезни (ICD-10) и лекарства (ATC)
# lang: RU→EN
# domains: medical, pharma
# tier: auto
# Собрано backend/authority_data/fetch_wikidata.py.
# Только однозначные в обе стороны пары: если у термина нашлось
# несколько соответствий, он выброшен — приказ не может быть
# двусмысленным, такие термины решает человек.
(+)-псевдоэфедрин	(+)-pseudoephedrine
(±)-тиопентал	(±)-thiopental
(−)-эфедрин	(−)-ephedrine
1-фенил-3-метил-5-пиразолон	edaravone
17-Гидроксипрогестерон	17α-hydroxyprogesterone
2-фенилфенол	2-phenylphenol
4-диметиламинофенол	4-dimethylaminophenol
4-метилпиразол	fomepizole
5-гидрокситриптофан	5-HTP
8-оксихинолин	oxyquinoline
«бедная симптомами» шизофрения	symptom-depleted schizophrenia
«лёгкость» головы	lightheadedness
β-каротин	β-carotene
γ-линоленовая кислота	gamolenic acid
Абакавир	abacavir
Абакавир/Долутегравир/Ламивудин	abacavir/dolutegravir/lamivudine
Абакавир/Ламивудин/Зидовудин	abacavir/lamivudine/zidovudine
аборт	abortion
абрахия	abrachia
Абсанс	absence seizure
абстинентный синдром	drug withdrawal
абсцесс	abscess
Абузусная головная боль	medication overuse headache
аванафил	avanafil
авария на мотоцикле	motorcycle accident
авиационный инцидент	aviation accident
авитаминоз	vitamin deficiency
автокатастрофа	car collision
автомобильное самоубийство	vehicular suicide
Агалактия	Agalactia
Агомелатин	agomelatine
Агонист рецепторов вазопрессина	Vasopressin receptor agonist
агорафобия	agoraphobia
Агрессивная ангиомиксома	angiomyxoma
адалимумаб	adalimumab
Аддисонический криз	adrenal crisis
Аденовирусная инфекция	adenovirus infection
Аденозин	adenosine
аденома	adenoma
Аденома гипофиза	pituitary adenoma
Аденома паращитовидной железы	parathyroid adenoma
аденома простаты	prostatic hypertrophy
аденома соска	nipple adenoma
аденома щитовидной железы	thyroid adenoma
адреналин	epinephrine
Адренокортикальный рак	adrenocortical carcinoma
адренокортикотропный гормон	corticotropin
адренолейкодистрофия	X-linked adrenoleukodystrophy
Адсорбированная коклюшно-дифтерийно-столбнячная вакцина	DPT vaccine
ажитация	psychomotor agitation
азатиоприн	azathioprine
азацитидин	azacitidine
азелаиновая кислота	azelaic acid
Азеластин	azelastine
Азенапин	asenapine
азитромицин	azithromycin
азот	nitrogen
Азотемия	azotemia
Азотистые иприты	nitrogen mustard
азтреонам	aztreonam
Аймалин	ajmaline
Акалькулия	acalculia
Акампросат	acamprosate
Акантохейлонематоз	acanthocheilonemiasis
акарбоза	acarbose
акариазы	acariasis
Акатизия	akathisia
Аквагенический зуд	aquagenic pruritus
аквагенная крапивница	aquagenic urticaria
акне	acne
акрания	acrania
акривастин	acrivastine
Акридонуксусная кислота	cridanimod
Акрокефалия	oxycephaly
акромегалия	acromegaly
Акропарэстезия	acroparesthesia
Акроцианоз	acrocyanosis
актинобациллёз	actinobacillosis
Актрапид	Actrapid
Акушерские кровотечения	obstetrical hemorrhage
Акушерские параличи	Obstetrical brachial plexus palsy
акушерские родовые осложнения	obstetric labor complication
акцентуация	accentuation of personality traits
Алгелдрат	algeldrate
алексия	visual verbal agnosia
Алектиниб	alectinib
алемтузумаб	alemtuzumab
алимемазин	trimeprazine
алирокумаб	alirocumab
Алкалоз	alkalosis
алкилирующие антинеопластические препараты	alkylating antineoplastic agent
Алкилсульфонаты	alkyl sulfonate
алкоголизм	alcoholism
алкоголь и здоровье	alcohol and health
Алкогольная болезнь печени	alcoholic liver disease
алкогольная зависимость	alcohol dependence
алкогольное опьянение	alcohol intoxication
алкогольный абстинентный синдром	alcohol withdrawal syndrome
алкогольный галлюциноз	alcoholic hallucinosis
алкогольный делирий	delirium tremens
алкогольный психоз	alcohol-induced psychotic disorder
аллерген	allergen
аллергический ринит	seasonal allergic rhinitis
аллергия	allergy
Аллергия на арахис	peanut allergy
Аллергия на никель	nickel allergic contact dermatitis
Аллобарбитал	allobarbital
Аллопуринол	allopurinol
алопеция	alopecia
алпразолам	alprazolam
алпренолол	alprenolol
алпростадил	alprostadil
Алтретамин	altretamine
алфентанил	alfentanil
алфузозин	alfuzosin
альбендазол	albendazol
альбинизм	albinism
Альвеолит	alveolitis
Альгинат кальция	calcium alginate
альгиновая кислота	alginic acid
Альдостерон	aldosterone
альтеплаза	alteplase
Альфа-галактозидаза	galactosidase alpha
Альфа-глутамил-триптофан+Аскорбиновая кислота+Бендазол	cytovir-3
альфакальцидол	alfacalcidol
амантадин	amantadine
Амастия	Amastia
амбазон	ambazone
Амбенония хлорид	ambenonium
Амблиопия	amblyopia
Амброксол	ambroxol
Амелобластома	ameloblastoma
амидохлорид ртути	ammoniatedmercuric chloride
амикацин	amikacin
Амилоидоз, связанный с гемодиализом	Haemodialysis-associated amyloidosis
амилорид	amiloride
Аминептин	amineptine hydrochloride
аминогликозиды	aminoglycoside antibiotic
аминокапроновая кислота	aminocaproic acid
аминокислота	amino acid
аминолевулиновая кислота	aminolevulinic acid
Аминофеназон	aminophenazone
Аминофенилмасляная кислота	phenibut
амиодарон	amiodarone
амисульприд	(RS)-amisulpride
амитриптилин	amitriptyline
амлодипин	amlodipine
амобарбитал	amobarbital
амоксициллин	amoxicillin
Аморолфин	amorolfine
ампициллин	ampicillin
ампренавир	amprenavir
ампутант	amputee
амфеникол	amphenicols
Амфепрамон	(RS)-diethylpropion
амфетаминовая зависимость	amphetamine dependence
анаболические стероиды	anabolic steroid
анагрелид	anagrelide
анакинра	anakinra
анальный зуд	pruritus ani
ананкастное расстройство личности	obsessive-compulsive personality disorder
анаплазмоз	anaplasmosis
Анапластический рак щитовидной железы	anaplastic thyroid cancer
Анастрозол	anastrozole
анафилаксия	anaphylaxis
анафилактический шок	anaphylactic shock
ангидротическая эктодермальная дисплазия	hypohidrotic ectodermal dysplasia
Ангина герпетическая	herpangina
Ангина Людвига	Ludwig's angina
Ангиодисплазия	angiodysplasia
ангиома	angioma
Ангиопротекторы	vasoprotective
Ангиосаркома	angiosarcoma
Ангиостронгилёз	angiostrongyliasis
Андекса	andexanet alfa
Андриол	testosterone undecanoate
андрогенная алопеция	androgenic alopecia
андрогены	androgen
андрофобия	androphobia
аневризма	aneurysm
аневризма брюшной аорты	abdominal aortic aneurysm
Аневризма грудной аорты	thoracic aortic aneurysm
аневризмы сосудов головного мозга	intracranial aneurysm
Анемия при беременности	anemia in pregnancy
анеуплоидия	aneuploidy
Анизакидоз	Anisakis
Анизейкония	aniseikonia
анизокория	anisocoria
Анизоцитоз	anisocytosis
Анилиды	anilides
Анилэридин	anileridine
Анирацетам	aniracetam
Анкилозирующий спондилоартрит	spondyloarthropathy
анкилостомидозы	ancylostoma duodenale ancylostomiasis
анксиолитик	anxiolytic
аномалия волос	hair anomaly
аномалия опорно-двигательного аппарата	musculoskeletal abnormality
аномалия стоматогнатической системы	stomatognathic system abnormality
аномальное медицинская находка	abnormal medical finding
Анопсия	anopsia
аноргазмия	anorgasmia
Анорексигенные средства	anorectic
анорексия	anorexia
Аноректальный абсцесс	anorectal abscess
анорхизм	anorchia
аносмия	anosmia
Анофтальмия	anophthalmia
ансувимаб	MAb114
антагонист кальция	calcium channel blocker
Антагонист рецепторов вазопрессина	Vasopressin receptor antagonist
антагонист серотонина	serotonin antagonist
Антагонисты пуринов	Purine analogue
Антацид	antacid
антигистаминный препарат	histamine antagonist
антидепрессант	antidepressant
антидиабетические препараты	anti-diabetic medication
антидиуретический гормон	arginine vasopressin
антикоагулянты	anticoagulant
антималярийный препарат	antimalarial
антиметаболит	antimetabolite
антинеопластический препарат	antineoplastic
Антиперспирант	antiperspirant
антипротозойные средства	antiprotozoal
антипсихотический препарат	antipsychotics
Антирабический иммуноглобулин	rabies immunoglobulin or antiserum
антисептик	antiseptic
антитромбические препараты	antithrombotic
антитромбический фермент	antithrombotic enzyme
антропофобия	anthropophobia
анурия	anuria
апалутамид	apalutamide
апиксабан	apixaban
апноэ во сне	sleep apnea
апоморфин	apomorphine
апраксия	apraxia
апремиласт	apremilast
Апротинин	aprotinin
Арахнодактилия	arachnodactyly
Арахноидальная киста	arachnoid cyst
арахнофобия	arachnophobia
арахноэнтомоз	arthropod infestation
Аргентинская геморрагическая лихорадка	Argentine hemorrhagic fever
Аргироз	argyria
арипипразол	aripiprazole
аритмия	heart arrhythmia
армодафинил	armodafinil
артемизинин	artemisinin
артериальная гипертензия	arterial hypertension
артериальная гипотензия	hypotension
Артериит	arteritis
Артериовенозная фистула	arteriovenous fistula
Артериосклероз Менкеберга	Monckeberg arteriosclerosis
Артесунат	artesunate
артралгия	arthralgia
артропатия	arthropathy
Асбестовидный лишай	pityriasis amiantacea
асбестоз	asbestosis
асептический менингит	aseptic meningitis
Асистолия	asystole
асоматогнозия	asomatognosia
Аспарагиназа	Asparaginase
Аспергиллома	aspergilloma
Аспермия	aspermia
аспирация	foreign body aspiration
Аспириновая бронхиальная астма	aspirin-exacerbated respiratory disease
аспоксициллин	aspoxicillin
астемизол	astemizole
астматический статус	status asthmaticus
астробластома	astroblastoma
астроцитома	astrocytoma
Асунапревир	asunaprevir
асфиксия	asphyxia
асцит	ascites
атазанавир	atazanavir
атаксия	ataxia
Атаксия телеангиэктазия	ataxia telangiectasia
Атаксия Фридрейха	Friedreich ataxia
аталурен	ataluren
Атезолизумаб	atezolizumab
ателектаз	atelectasis
атенолол	atenolol
Атерома	atheroma
Атерома кожи	sebaceous cyst
Атетоз	athetosis
атипичный аутизм	atypical autism
Атипичный гемолитико-уремический синдром	atypical hemolytic uremic syndrome
Атовакуон	atovaquone
атозибан	atosiban
атомоксетин	atomoxetine
Атония матки	uterine atony
аторвастатин	atorvastatin
атракурия безилат	atracurium besylate
атрезия влагалища	vaginal atresia
атропин	atropine
Атрофический ринит	chronic atrophic rhinitis
атрофия головного мозга	cerebral degeneration
аура	aura
ауранофин	auranofin
ауротиоглюкоза	aurothioglucose
Ауротиопрол	aurotioprol
аутизм	autism
аутоагрессия	autoaggression
аутоиммунные заболевания	autoimmune disease
аутоиммунный тиреоидит	chronic thyroiditis
Аутотопагнозия	autotopagnosia
афазия	aphasia
Афазия Брока	expressive aphasia
Афазия Вернике	receptive aphasia
афакия	aphakia
афлиберцепт	aflibercept
афония	aphonia
аффективное расстройство	mood disorder
ахилия	achylia
ахлоргидрия	achlorhydria
Ахолия	Acholia
ацебутолол	acebutolol
Ацеклидин	aceclidine
ацеклофенак	aceclofenac
Ацеметацин	acemetacin
Ацерулоплазминемия	aceruloplasminemia
ацетазоламид	acetazolamide
ацетат калия	potassium acetate
ацетат кальция	calcium acetate
ацетат натрия	sodium acetate
Ацетат цинка	zinc acetate
Ацетилсалицилат лизина	Lysine acetylsalicylate
ацетилсалициловая кислота	aspirin
ацетилхолин	acetylcholine
ацетилцистеин	N-acetyl-L-cysteine
Ацетонемия	ketosis
ацетофеназин	acetophenazine
Ацефалия	acephaly
Ацидоз	acidosis
ацикловир	aciclovir
Аэроотит	barotitis
Аэросинусит	Aerosinusitis
Аэрофагия	aerophagia
базалиома	basal-cell carcinoma of the skin
Базиликсимаб	basiliximab
базофилия	basophilia
баклофен	(RS)-baclofen
бактериальная вакцина	bacterial vaccine
бактериальная инфекция	bacterial infectious disease
бактериальный вагиноз	bacterial vaginosis
бактериемия	bacteremia
Барбитал	barbital
Барицитиниб	baricitinib
баротравма	barotrauma
Бартонеллёз	Carrion's disease
бацитрацин	bacitracin a
бевацизумаб	bevacizumab
бедаквилин	bedaquiline
Беджель	bejel
бездомность	homelessness
безитрамид	bezitramide
Безлотоксумаб	bezlotoxumab
безоар	bezoar
Бекаплермин	becaplermin
Бекламид	beclamide
Беклометазона дипропионат	beclomethasone dipropionate
бексаротен	bexarotene
Белимумаб	belimumab
Белиностат	belinostat
Бемегрид	bemegride
Бемипарин натрия	bemiparin
бендазол	tolazoline
бендамустин	bendamustine
бензидамин	benzydamine
бензилбензоат	benzyl benzoate
бензиловый спирт	benzyl alcohol
Бензнидазол	benznidazole
бензоат натрия	sodium benzoate
бензодиазепин	benzodiazepine drug
бензодиазепиновая зависимость	benzodiazepine dependence
бензоилпероксид	benzoyl peroxide
бензокаин	benzocaine
бензонатат	benzonatate
Бензтропин	benzatropine
Бенперидол	benperidol
Бенфотиамин	benfotiamine
бергаптен	bergapten
беременность и психоактивные вещества	drugs in pregnancy
беременность человека	human pregnancy
Бери-бери	beriberi
Берлинская лазурь	Prussian blue
бесплодие	infertility
бессонница	insomnia
бета-адреноблокатор	beta blocker
бетагистин	betahistine
бетаин	betaine
бетаксолол	betaxolol
бетаметазон	betamethasone
Бигуаниды	biguanide
